LEA ID,LEA Name,,,School ID,School Name,,,,Identified Student Percentage (ISP),Proxy Identified Student Percentage (ISP),,Eligible to Participate,,Near Eligible to Participate,Currently Participating,Participating as an Individual Site,,,Participating as part of a Group of Schools,Participating as Part of an Entire District,Participating in Year 4 and Eligible for a Grace Year,,"Student Enrollment in Near-Eligible, Eligible, and Participating CEP Schools",Comments,
N-02-13,Clark County School District,,,002-118,"Allen, Dean Lamar ES",,,,35.10%,,,,,X,,,,,,,,,527,,
N-02-13,Clark County School District,,,002-410,"Schorr, Steven ES",,,,35.17%,,,,,X,,,,,,,,,762,,
N-02-13,Clark County School District,,,002-164,"Ober, D'Vorre & Hal ES",,,,35.32%,,,,,X,,,,,,,,,773,,
N-02-13,Clark County School District,,,002-064,"White, Thurman MS",,,,35.95%,,,,,X,,,,,,,,,"1,544",,
N-02-13,Clark County School District,,,002-361,Virgin Valley ES,,,,36.28%,,,,,X,,,,,,,,,634,,
N-02-13,Clark County School District,,,002-362,"Faiss, Wilbur & Theresa MS",,,,36.68%,,,,,X,,,,,,,,,"1,704",,
N-02-13,Clark County School District,,,002-257,Durango  HS,,,,36.70%,,,,,X,,,,,,,,,"2,319",,
N-02-13,Clark County School District,,,002-347,"Alamo, Tony ES",,,,36.84%,,,,,X,,,,,,,,,"1,064",,
N-02-13,Clark County School District,,,002-352,"Thompson, Sandra Lee ES",,,,36.97%,,,,,X,,,,,,,,,633,,
N-02-13,Clark County School District,,,002-080,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-143,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-119,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-608,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-097,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-308,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-268,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-241,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-276,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-167,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-318,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-302,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-181,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-120,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-310,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-086,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-185,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-202,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-153,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-102,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-425,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-197,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-275,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-278,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-416,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-928,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-208,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-409,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-161,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-207,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-261,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-346,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-262,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-199,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-168,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-336,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-129,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-209,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-210,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-089,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-183,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-297,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-625,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-105,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-350,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-187,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-303,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-252,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-604,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-075,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-272,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-363,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-182,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-123,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-196,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-323,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-359,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-206,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-135,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-133,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-134,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-079,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-332,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-226,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-169,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-107,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-136,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-092,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-309,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-237,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-166,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-418,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-402,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-435,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-337,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-341,,,,,,,,,,,,,,,,,,,,,
N-02-13,Clark County School District,,,002-619,,,,,,,,,,,,,,,,,,,,,
37.16%,,,Attachment A,,,X,,,,,,,"1,593",,,,,,,,,,,,
37.35%,,,,,,X,,,,,,,"1,628",,,,,,,,,,,,
37.40%,,,,,,X,X,,G28,,,,623,,,,,,,,,,,,
37.66%,,,,,,X,X,,G11,,,,640,,,,,,,,,,,,
37.85%,,,,,,X,,,,,,,951,,,,,,,,,,,,
37.96%,,,,,,X,,,,,,,432,,,,,,,,,,,,
38.48%,,,,,,X,,,,,,,686,,,,,,,,,,,,
38.50%,,,,,,X,,,,,,,678,,,,,,,,,,,,
